[2026-03-16 17:34:52] [HỆ THỐNG] Server Java khởi động, kết nối MQTT thành công.
[2026-03-16 17:52:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 61.0%
[2026-03-16 17:53:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 62.0%
[2026-03-16 17:53:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 62.0%
[2026-03-16 17:53:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 62.0%
[2026-03-16 17:53:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 62.0%
[2026-03-16 17:53:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.8°C, Độ ẩm: 62.0%
